number,type,gu,area,room,lat_y,long_x
1051,다가구,은평구,564.37,13,37.61328965,126.9080209
1052,다가구,강동구,542.78,10,37.5454562,127.1232916
1053,다가구,강동구,400,8,37.5454562,127.1232916
1054,다가구,강동구,430.02,8,37.5447586,127.1371696
1055,다가구,구로구,564.84,14,37.5057277,126.8628658
1056,다가구,금천구,479.84,8,37.4722845,126.8917604
1057,다가구,금천구,478.82,8,37.4722845,126.8917604
1058,다가구,금천구,397.13,8,37.4634193,126.8982997
1059,다가구,금천구,463.29,10,37.448783,126.9071064
1060,다가구,양천구,382.62,8,37.5441936,126.8730744
1061,다가구,도봉구,495.68,10,37.6533129,127.0562911
1062,다가구,강동구,543.81,13,37.5524089,127.137631
1063,다가구,강동구,371.02,8,37.5409649,127.1348855
1064,다가구,강동구,468.68,10,37.5409649,127.1348855
1065,다가구,동대문구,541.58,10,37.5693006,127.0715818
1066,다가구,은평구,474.97,10,37.5999512,126.9237371
1067,다가구,강동구,534.31,10,37.5497802,127.1379119
1068,다가구,금천구,355.17,6,37.4553934,126.9091641
1069,다가구,금천구,475.76,8,37.4553934,126.9091641
1070,다가구,금천구,505.4,8,37.4553934,126.9091641
1071,다가구,금천구,591.4,8,37.4553934,126.9091641
1072,다가구,금천구,488.7,12,37.4588119,126.9030485
1073,다가구,서초구,460.78,10,37.4742782,127.0468425
1074,다가구,양천구,577.76,12,37.5370614,126.8675314
1075,다가구,양천구,417.28,9,37.5370614,126.8675314
1076,다가구,양천구,578.42,15,37.5417934,126.8656583
1077,다가구,영등포구,524.84,12,37.4968798,126.8959318
1078,다가구,은평구,546.96,13,37.60965655,126.9119124
1079,다가구,은평구,414.02,8,37.61345085,126.9076407
1080,다가구,은평구,460.16,11,37.6146779,126.907923
1081,다가구,성북구,660,16,37.6065596,127.0435078
1082,다가구,성북구,660,20,37.6065596,127.0435078
1083,다가구,성북구,660,20,37.6065596,127.0435078
1084,다가구,성북구,660,20,37.6065596,127.0435078
1085,다가구,성북구,660,24,37.6065596,127.0435078
1086,다가구,성북구,660,24,37.6065596,127.0435078
1087,다가구,성북구,660,24,37.6065596,127.0435078
1088,다가구,강동구,372.8,7,37.5458614,127.1691745
1089,다가구,금천구,388.38,10,37.4614085,126.9083943
1090,다가구,금천구,523.53,12,37.453242,126.9087992
1091,다가구,양천구,473.61,11,37.5401806,126.8716261
1092,도시형,강남구,166.5,10,37.5791729,127.0398684
1093,도시형,강동구,415.08,14,37.5325144,127.1275341
1094,도시형,강동구,574.4,16,37.4825572,126.856878
1095,도시형,강동구,543.9,16,37.5455932,127.1692079
1096,도시형,강동구,327.12,10,37.5476378,127.1714695
